song_name,singer,singer_id,duration,language,released_date,danceability,acousticness,energy,liveness,loudness,speechiness,tempo,mode,key,Valence,time_signature,popularity,Stream,Cluster
Kabhi Kabhi Mere Dil Mein (Duet),Lata Mangeshkar|Mukesh,/artist/lata-mangeshkar|/artist/mukesh,05:00,Hindi,08-11-2014,0.18,0.064,0.242,0.094,-3.675,0.068,114.924,1.0,9.0,0.07,4.0,39.0,7611930.0,1
Dil Tera Kisne Toda,Mohammad Aziz,/artist/mohammad-aziz,03:37,Hindi,11-03-2005,0.69,0.765,0.881,0.634,-2.347,0.09,194.676,1.0,6.0,0.074,4.0,27.0,2844062.0,3
Palkon Ke Peechhe Se,Lata Mangeshkar|Mohammed Rafi,/artist/lata-mangeshkar|/artist/mohammad-rafi,04:43,Hindi,11-05-2016,0.73,0.474,0.769,0.913,-4.103,0.05,155.918,0.0,4.0,0.072,4.0,82.0,6066867.0,2
Ah Dil Kya Mahfil Hai,Kishore Kumar,/artist/kishore-kumar,02:44,Hindi,05-04-2004,0.4,0.55,0.362,0.974,-5.303,0.0188,159.959,1.0,6.0,0.03,4.0,79.0,4728017.0,0
Main Solah Baras Ki,Kishore Kumar|Lata Mangeshkar,/artist/kishore-kumar|/artist/lata-mangeshkar,05:16,Hindi,08-07-2014,0.01,0.753,0.369,0.884,-7.538,0.0524,120.0,0.0,5.0,0.072,4.0,60.0,1892961.0,1
Mere Paas Aao Mere Dosto,Amitabh Bachchan|Master Ravi|Children,/artist/amitabh-bachchan|/artist/master-ravi|/artist/children,05:23,Hindi,01-01-2010,0.24,0.306,0.899,0.274,-7.236,0.1,124.099,0.0,6.0,0.06,4.0,52.0,4857968.0,1
Mere Naina Sawan Bhadon,Kishore Kumar,/artist/kishore-kumar,05:29,Hindi,10-05-2018,0.22,0.08,0.366,0.388,-8.146,0.006,210.104,0.0,1.0,0.08,4.0,60.0,6104584.0,4
Tujhse Naraz Nahin Zindagi,Lata Mangeshkar|Gulzar,/artist/lata-mangeshkar|/artist/gulzar,03:41,Hindi,03-10-2023,0.62,0.54,0.295,0.663,-8.717,0.08,150.183,1.0,2.0,0.034,4.0,45.0,4589067.0,1
Har Kisiko Nahin Milta Yahan Pyar,Manhar Udhas|Sadhna Sargam,/artist/manhar-udhas|/artist/sadhna-sargam-1,04:56,Hindi,07-10-2017,0.47,0.87,0.347,0.752,-3.526,0.0741,171.017,0.0,6.0,0.0319,4.0,94.0,9411695.0,1
Wahan Kaun Hai Tera Musafir,S. D. Burman,/artist/sdburman,04:43,Hindi,09-01-2016,0.11,0.258,0.512,0.065,-13.81,0.068,171.122,1.0,1.0,0.0021,4.0,68.0,304802.0,4
Na Koi Umang Hai,Lata Mangeshkar,/artist/lata-mangeshkar,04:21,Hindi,09-08-2016,0.81,0.833,0.692,0.743,-9.961,0.09,117.932,0.0,11.0,0.05,4.0,44.0,6509064.0,2
Chale The Saath Milkar,Mohammed Rafi,/artist/mohammad-rafi,03:23,Hindi,03-11-2017,0.11,0.8,0.499,0.76,-8.083,0.0026,130.127,0.0,5.0,0.04,4.0,81.0,4164193.0,0
Lakdi Ki Kathi,Gauri Bapat|Gurpreet Kaur|Vanita Mishra,/artist/gauri-bapat|/artist/gurpreet-kaur|/artist/vanita-mishra,04:02,Hindi,01-06-2006,0.53,0.26,0.278,0.262,-11.222,0.079,113.987,1.0,10.0,0.0171,4.0,96.0,4052445.0,1
Main Jat Yamla Pagla Diwana,Mohammed Rafi,/artist/mohammad-rafi,04:38,Hindi,11-08-2000,0.97,0.27,0.555,0.016,-8.958,0.05,147.768,1.0,7.0,0.08,4.0,69.0,5464767.0,3
Hum Aur Tum Tum Aur Hum,Lata Mangeshkar|Kishore Kumar,/artist/lata-mangeshkar|/artist/kishore-kumar,04:06,Hindi,12-02-2008,0.86,0.578,0.954,0.984,-10.843,0.0429,114.343,0.0,11.0,0.084,4.0,71.0,7092995.0,2
Kaisa Tera Pyar,Amit Kumar|Lata Mangeshkar,/artist/amit-kumar|/artist/lata-mangeshkar,05:06,Hindi,08-08-2019,0.32,0.93,0.294,0.855,-7.412,0.0344,127.944,1.0,8.0,0.09,4.0,35.0,7241092.0,1
Aur Is Dil Mein (Duet),Asha Bhosle|Suresh Wadkar,/artist/asha-bhosle-1|/artist/suresh-wadkar,06:00,Hindi,06-06-2002,0.88,0.69,0.597,0.553,-10.104,0.0784,183.038,0.0,8.0,0.011,4.0,44.0,1954854.0,3
Chana Jor Garam,Kishore Kumar|Lata Mangeshkar|Mohammed Rafi|Nitin Mukesh,/artist/kishore-kumar|/artist/lata-mangeshkar|/artist/mohammad-rafi|/artist/nitin-mukesh,07:07,Hindi,08-12-2014,0.29,0.139,0.227,0.754,-6.789,0.0474,184.078,1.0,1.0,0.0923,4.0,57.0,305701.0,4
Tu Hi Meri Shab Hai,K.K.,/artist/kk,06:29,Hindi,11-10-2014,0.03,0.64,0.043,0.409,-4.362,0.0788,117.64,0.0,10.0,0.0033,4.0,46.0,8823564.0,1
Ho Dilbar Janiya,Mithun Chakraborty|PADMINI KOHLAPURE|Danny Denzongpa|Asrani|Bindu,/artist/mithun-chakraborty|/artist/padmini-kohlapure-1|/artist/danny-denzongpa|/artist/asrani|/artist/bindu,05:21,Hindi,03-01-2019,0.59,0.75,0.652,0.047,-11.925,0.058,198.26,0.0,10.0,0.064,4.0,95.0,1220451.0,3
Khullam Khulla Pyar Karenge,Asha Bhosle|Kishore Kumar,/artist/asha-bhosle-1|/artist/kishore-kumar,05:16,Hindi,11-01-2001,0.06,0.428,0.727,0.754,-3.292,0.08,128.962,0.0,1.0,0.07,4.0,90.0,6460159.0,1
Chalo Dildar Cholo,Lata Mangeshkar,/artist/lata-mangeshkar,03:47,Hindi,04-07-2017,0.23,0.48,0.171,0.651,-3.714,0.02,138.038,1.0,5.0,0.003,4.0,77.0,8484425.0,4
Ab Ke Sawan Mein Jee Dare,Kishore Kumar|Lata Mangeshkar,/artist/kishore-kumar|/artist/lata-mangeshkar,04:21,Hindi,07-07-2021,0.33,0.44,0.301,0.449,-10.489,0.077,140.05,0.0,10.0,0.0307,4.0,57.0,5723808.0,1
Aashiqui Mein Had Se,Sadhana Sargam|Vinod Rathod,/artist/sadhana-sargam-1|/artist/vinod-rathod,04:45,Hindi,09-03-2010,0.25,0.63,0.2,0.3,-3.11,0.05,181.944,0.0,1.0,0.05,4.0,61.0,5148413.0,0
Yeh Duniyawale Poochhenge,Asha Bhosle|Kishore Kumar,/artist/asha-bhosle-1|/artist/kishore-kumar,05:04,Hindi,02-06-2011,0.97,0.58,0.614,0.782,-10.496,0.09,150.704,1.0,7.0,0.0659,4.0,29.0,9099365.0,3
Tu Is Tarah Se Mere Zindagi Main,Mohammed Rafi,/artist/mohammad-rafi,06:34,Hindi,07-07-2010,0.61,0.04,0.418,0.659,-12.526,0.01,113.085,0.0,10.0,0.0742,4.0,70.0,9620529.0,2
Aese To Na Dekho,Mohammed Rafi,/artist/mohammad-rafi,03:51,Hindi,06-02-2020,0.42,0.251,0.374,0.251,-9.636,0.0559,187.99,0.0,10.0,0.013,4.0,79.0,2272743.0,3
Zindagi Milke Bitayenge,Kishore Kumar|R. D. Burman|Sapan Chakraborty|Bhupinder Singh,/artist/kishore-kumar|/artist/r-d-burman|/artist/sapan-chakraborty|/artist/bhupinder-singh,04:30,Hindi,10-04-2016,0.86,0.994,0.734,0.829,-12.371,0.028,120.038,1.0,11.0,0.0738,4.0,96.0,1831936.0,2
Ab Ke Sajan Sawan Mein,Lata Mangeshkar,/artist/lata-mangeshkar,04:41,Hindi,06-03-2019,0.37,0.195,0.67,0.593,-3.644,0.02,124.959,1.0,11.0,0.03,4.0,85.0,5020130.0,4
Parda Hata Do,Mohammed Rafi|Asha Bhosle,/artist/mohammad-rafi|/artist/asha-bhosle-1,04:41,Hindi,12-10-2007,0.75,0.5,0.547,0.865,-3.74,0.0514,146.073,0.0,4.0,0.05,4.0,28.0,7938190.0,2
Khafa Hoon Khafa Hoon,Kishore Kumar,/artist/kishore-kumar,05:03,Hindi,11-03-2020,0.68,0.86,0.456,0.239,-11.772,0.093,183.985,1.0,8.0,0.0785,4.0,25.0,2213898.0,3
Kasme Vaade Nibhayenge Hum - Part I,Kishore Kumar|Lata Mangeshkar,/artist/kishore-kumar|/artist/lata-mangeshkar,04:45,Hindi,01-08-2009,0.39,0.717,0.057,0.176,-11.292,0.04,191.478,0.0,7.0,0.089,4.0,51.0,8625677.0,0
Parde Mein Rahne Do,Asha Bhosle,/artist/asha-bhosle-1,06:02,Hindi,01-09-2001,0.35,0.99,0.116,0.92,-8.059,0.059,121.927,1.0,6.0,0.03,4.0,36.0,3118273.0,1
Naam Goom Jayega,Bhupinder Singh,/artist/bhupinder-singh,04:50,Hindi,06-11-2004,0.52,0.538,0.044,0.059,-6.626,0.06,121.003,0.0,10.0,0.07,4.0,91.0,4879744.0,1
Tere Khushboo Mein Base Khat,Jagjit Singh,/artist/jagjeet-singh-1,01:25,Hindi,05-08-2013,0.44,0.74,0.046,0.633,-7.199,0.0237,210.044,1.0,5.0,0.003,4.0,78.0,7730831.0,0
Jiske Sapne Humen Ros Aate Hai,Lata Mangeshkar|Mahendra Kapoor,/artist/lata-mangeshkar|/artist/mahendra-kapoor,05:05,Hindi,10-11-2002,0.23,0.41,0.563,0.108,-4.951,0.03,174.968,0.0,10.0,0.097,4.0,71.0,7339915.0,4
Kuchh To Log Kahenge,Kishore Kumar,/artist/kishore-kumar,04:21,Hindi,07-02-2007,0.27,0.479,0.16,0.69,-12.512,0.0977,133.893,0.0,0.0,0.06,4.0,52.0,9940136.0,1
Na Jane Kya Hua,Lata Mangeshkar,/artist/lata-mangeshkar,05:31,Hindi,04-01-2015,0.83,0.85,0.342,0.002,-12.961,0.085,130.007,0.0,4.0,0.05,4.0,98.0,427611.0,1
De De Pyar De De (Female),Asha Bhosle,/artist/asha-bhosle-1,04:24,Hindi,06-04-2002,0.14,0.083,0.918,0.741,-11.693,0.019,190.974,0.0,5.0,0.02,4.0,31.0,5155403.0,4
Musafir Hoon Yaron,Kishore Kumar,/artist/kishore-kumar,03:13,Hindi,07-03-2002,0.45,0.667,0.048,0.684,-2.138,0.0379,154.909,1.0,4.0,0.0108,4.0,94.0,11193312.0,0
Mera Naam Raju,Mukesh,/artist/mukesh,03:19,Hindi,02-07-2011,0.29,0.13,0.469,0.295,-8.85,0.07,128.462,1.0,0.0,0.085,4.0,72.0,8758736.0,1
Mere Mitwa Mere Meet Re,Lata Mangeshkar|Mohammed Rafi,/artist/lata-mangeshkar|/artist/mohammad-rafi,03:45,Hindi,10-05-2018,0.46,0.993,0.064,0.13,-12.762,0.054,204.61,0.0,7.0,0.02,4.0,41.0,2647762.0,0
Justuju Jiski Thi,Asha Bhosle,/artist/asha-bhosle-1,04:47,Hindi,01-11-2010,0.15,0.65,0.62,0.136,-7.298,0.0959,176.042,1.0,9.0,0.07,4.0,64.0,4544266.0,1
Chupke Se Dil Dede,Kishore Kumar|Lata Mangeshkar,/artist/kishore-kumar|/artist/lata-mangeshkar,03:28,Hindi,04-08-2010,0.95,0.566,0.675,0.341,-13.546,0.021,109.891,1.0,7.0,0.04,4.0,84.0,9908648.0,2
Muskurata Hua,Kishore Kumar,/artist/kishore-kumar,06:52,Hindi,10-07-2019,0.49,0.833,0.164,0.425,-12.51,0.0048,123.941,1.0,7.0,0.0969,4.0,45.0,8579328.0,2
O Haseena Zulfonwale Jane Jahan,Asha Bhosle|Mohammed Rafi,/artist/asha-bhosle-1|/artist/mohammad-rafi,06:56,Hindi,01-02-2019,0.65,0.91,0.486,0.249,-5.033,0.009,159.504,1.0,10.0,0.03,4.0,28.0,3668083.0,0
Ek Din Sapne Mein Dekha Sapna,Amit Kumar|Kishore Kumar,/artist/amit-kumar|/artist/kishore-kumar,03:43,Hindi,03-07-2018,0.52,0.93,0.495,0.797,-7.097,0.013,175.382,1.0,1.0,0.0744,4.0,54.0,8705268.0,0
Dil Cheez Kya Hai,Asha Bhosle,/artist/asha-bhosle-1,06:11,Hindi,08-08-2010,0.4,0.28,0.589,0.816,-3.551,0.09,128.109,1.0,8.0,0.0331,4.0,29.0,3699401.0,1
Rangeela Re,Lata Mangeshkar,/artist/lata-mangeshkar,06:17,Hindi,03-09-2006,0.04,0.6,0.581,0.244,-3.507,0.0719,120.288,0.0,7.0,0.07,4.0,49.0,5406916.0,1
Zindagi Mere Ghar Aana,Anuradha Paudwal|Bhupinder Singh,/artist/anuradha-paudwal-2|/artist/bhupinder-singh,06:17,Hindi,05-08-2019,0.47,0.1,0.653,0.992,-8.044,0.016,157.116,1.0,2.0,0.084,4.0,38.0,6759306.0,4
Thande Thande Paani Se Nahana,Asha Bhosle|Mahendra Kapoor|Sushma Shrestha,/artist/asha-bhosle-1|/artist/mahendra-kapoor|/artist/sushma-shrestha,03:53,Hindi,11-04-2014,0.1,0.657,0.475,0.835,-4.436,0.022,190.232,1.0,7.0,0.09,4.0,37.0,9293058.0,0
Ae Nargise Mastana,Mohammed Rafi,/artist/mohammad-rafi,04:00,Hindi,02-08-2020,0.2,0.24,0.446,0.035,-5.485,0.095,110.645,0.0,5.0,0.0862,4.0,47.0,6399778.0,1
Meet Na Mila Re Man Ka,Kishore Kumar,/artist/kishore-kumar,04:21,Hindi,06-03-2017,0.09,0.544,0.879,0.574,-5.76,0.08,175.038,1.0,11.0,0.0756,4.0,79.0,9421379.0,1
Jab Chali Thandi Hawa,Asha Bhosle,/artist/asha-bhosle-1,03:52,Hindi,08-06-2006,0.45,0.68,0.879,0.067,-11.941,0.01,170.012,1.0,1.0,0.02,4.0,57.0,10966967.0,0
Roz Roz Dali Dali,Asha Bhosle,/artist/asha-bhosle-1,04:02,Hindi,10-03-2007,0.1,0.564,0.012,0.539,-8.263,0.05,196.108,0.0,7.0,0.0442,4.0,31.0,5412551.0,0
Ladki Hai Ya Shola,Kishore Kumar|Lata Mangeshkar,/artist/kishore-kumar|/artist/lata-mangeshkar,04:00,Hindi,05-04-2010,0.88,0.87,0.95,0.41,-8.393,0.0335,112.9,1.0,2.0,0.0,4.0,27.0,7997756.0,2
Mere Do Anmol Ratan,Kavita Krishnamurthy|Mohammad Aziz,/artist/kavita-subramaniam|/artist/mohammad-aziz,05:16,Hindi,08-11-2001,0.23,0.35,0.404,0.493,-7.841,0.0779,123.981,1.0,0.0,0.09,4.0,29.0,2002400.0,1
Tune Abhi Dekha Nahin,Kishore Kumar,/artist/kishore-kumar,05:29,Hindi,07-10-2021,0.04,0.484,0.503,0.888,-12.429,0.07,180.985,1.0,7.0,0.04,4.0,58.0,10518616.0,4
Saawan Ke Jhoolon Ne,Mohammad Aziz,/artist/mohammad-aziz,05:55,Hindi,09-07-2021,0.71,0.177,0.71,0.326,-6.271,0.0567,105.056,0.0,10.0,0.0122,4.0,100.0,1422932.0,2
Are Jane Kaise Kab Kahan Iqrar,Kishore Kumar|Lata Mangeshkar,/artist/kishore-kumar|/artist/lata-mangeshkar,05:39,Hindi,09-03-2014,0.48,0.59,0.377,0.692,-7.021,0.0717,161.678,1.0,2.0,0.0223,4.0,51.0,10184341.0,1
Taki Oh Taki,Asha Bhosle|Kishore Kumar,/artist/asha-bhosle-1|/artist/kishore-kumar,05:10,Hindi,08-03-2008,0.68,0.859,0.595,0.839,-7.988,0.024,124.959,1.0,6.0,0.05,4.0,48.0,6679936.0,2
Jeena Nahi,Anuradha Paudwal|Amit Kumar,/artist/anuradha-paudwal-2|/artist/amit-kumar,07:57,Hindi,06-06-2005,0.28,0.132,0.328,0.523,-2.707,0.01,116.005,0.0,9.0,0.0064,4.0,79.0,1870767.0,4
Janewalo Zara Mudke Dekho,Mohammed Rafi,/artist/mohammad-rafi,05:16,Hindi,07-04-2005,0.1,0.8,0.212,0.194,-5.158,0.03,187.58,1.0,7.0,0.03,4.0,44.0,1650505.0,0
Aaj Rapat Jaayen To,Asha Bhosle|Kishore Kumar,/artist/asha-bhosle-1|/artist/kishore-kumar,06:49,Hindi,07-06-2021,0.06,0.672,0.19,0.571,-4.335,0.025,127.952,0.0,11.0,0.0154,4.0,63.0,6062486.0,1
Intezaar,Anuradha Paudwal,/artist/anuradha-paudwal-2,07:51,Hindi,08-12-2015,0.47,0.92,0.666,0.848,-12.651,0.0791,163.817,0.0,1.0,0.059,4.0,44.0,2773064.0,1
Roj Roj Aankhon Tale,Amit Kumar|Asha Bhosle|R. D. Burman,/artist/amit-kumar|/artist/asha-bhosle-1|/artist/r-d-burman,07:59,Hindi,12-04-2007,0.73,0.93,0.171,0.832,-6.036,0.09,148.128,1.0,1.0,0.06,4.0,87.0,522219.0,1
Inhin Logon Ne,Lata Mangeshkar,/artist/lata-mangeshkar,03:41,Hindi,08-05-2001,0.71,0.73,0.671,0.621,-2.327,0.066,199.996,1.0,2.0,0.0151,4.0,42.0,2104663.0,0
Chupke Chupke Chal Re Purbaiya,Lata Mangeshkar,/artist/lata-mangeshkar,05:04,Hindi,05-12-2005,0.56,0.69,0.539,0.048,-11.442,0.031,200.042,1.0,1.0,0.062,4.0,95.0,9632145.0,0
Mere Mitwa Mere Meet Re,Mohammed Rafi,/artist/mohammad-rafi,03:44,Hindi,06-04-2013,0.83,0.522,0.174,0.555,-2.342,0.01,151.486,1.0,0.0,0.0206,4.0,47.0,3850440.0,2
Woh Haseen Dard De Do,Asha Bhosle,/artist/asha-bhosle-1,04:03,Hindi,12-08-2015,0.7,0.07,0.823,0.904,-4.958,0.0422,206.08,1.0,2.0,0.04,4.0,50.0,6291281.0,3
Roz Sham Aati Hai Magar Aesi,Lata Mangeshkar,/artist/lata-mangeshkar,03:11,Hindi,03-01-2022,0.12,0.02,0.839,0.254,-8.378,0.06,145.753,0.0,1.0,0.02,4.0,43.0,5294659.0,4
Badi Sooni Sooni Hai Zindagi,Kishore Kumar,/artist/kishore-kumar,03:29,Hindi,06-12-2005,0.2,0.11,0.21,0.618,-4.512,0.0288,121.008,0.0,0.0,0.0076,4.0,67.0,2101820.0,4
Bindiya Chamke Gi,Lata Mangeshkar,/artist/lata-mangeshkar,05:47,Hindi,06-01-2012,0.0,0.31,0.587,0.399,-7.174,0.07,135.072,0.0,5.0,0.03,4.0,82.0,3501245.0,1
Bhooli Bisri Ek Kahani,Anuradha Paudwal,/artist/anuradha-paudwal-2,06:55,Hindi,04-12-2014,0.13,0.06,0.952,0.699,-6.943,0.0716,193.336,1.0,0.0,0.09,4.0,49.0,10404664.0,4
Agar Tum Mil Jao,Udit Narayan,/artist/udit-narayan,06:01,Hindi,07-07-2004,0.83,0.18,0.402,0.123,-5.908,0.048,187.305,0.0,11.0,0.056,4.0,72.0,10242737.0,3
Ek Haseen Sham Ko Dil Mera Kho Gaya,Mohammed Rafi,/artist/mohammad-rafi,03:47,Hindi,02-05-2022,0.86,0.78,0.827,0.156,-8.56,0.0158,182.648,1.0,8.0,0.049,4.0,98.0,2349351.0,0
Maine Tere Liye,Mukesh,/artist/mukesh,04:08,Hindi,02-09-2015,0.8,0.602,0.791,0.927,-4.671,0.035,130.003,0.0,6.0,0.057,4.0,91.0,6531441.0,2
Dil Ki Girah Khol Do,Lata Mangeshkar|Manna Dey,/artist/lata-mangeshkar|/artist/manna-dey,04:31,Hindi,11-12-2020,0.85,0.24,0.54,0.16,-12.044,0.027,121.975,0.0,9.0,0.014,4.0,45.0,6448465.0,2
Haye Re Haye,Lata Mangeshkar|Mohammed Rafi,/artist/lata-mangeshkar|/artist/mohammad-rafi,04:29,Hindi,08-02-2022,0.85,0.816,0.882,0.494,-2.334,0.0344,205.696,1.0,7.0,0.04,4.0,91.0,7805433.0,0
Tu Mujhe Suna,Nitin Mukesh|Suresh Wadkar,/artist/nitin-mukesh|/artist/suresh-wadkar,04:41,Hindi,11-05-2018,0.46,0.346,0.962,0.063,-12.517,0.07,187.244,0.0,11.0,0.04,4.0,85.0,6116365.0,3
Ruk Jana O Janan,Kishore Kumar,/artist/kishore-kumar,03:41,Hindi,11-04-2013,0.08,0.49,0.164,0.009,-7.832,0.0956,124.987,0.0,1.0,0.0388,4.0,48.0,10270253.0,1
Aye Zindagi Gale Lagaa Le,Suresh Wadkar|Ilaiyaraaja,/artist/suresh-wadkar|/artist/iiaiyaraaja,05:30,Hindi,06-04-2022,0.82,0.309,0.197,0.907,-2.236,0.1,194.024,1.0,8.0,0.04,4.0,90.0,4176754.0,3
Hari Om Hari,Usha Uthup,/artist/usha-uthup,06:38,Hindi,01-03-2015,0.35,0.34,0.61,0.084,-7.733,0.06,178.422,0.0,0.0,0.075,4.0,59.0,2695857.0,3
Jo Tumko Ho Pasand Wohi Baat Karenge,Mukesh,/artist/mukesh,04:41,Hindi,09-01-2002,0.76,0.25,0.792,0.175,-8.378,0.048,167.307,0.0,11.0,0.0551,4.0,78.0,9628504.0,3
Ja Re Ja O Harjaee,Lata Mangeshkar,/artist/lata-mangeshkar,04:22,Hindi,01-11-2023,0.19,0.57,0.245,0.99,-12.929,0.09,159.948,1.0,5.0,0.029,4.0,49.0,4304058.0,1
Nainon Men Sapna.,Kishore Kumar|Lata Mangeshkar,/artist/kishore-kumar|/artist/lata-mangeshkar,06:31,Hindi,11-12-2014,0.51,0.42,0.765,0.904,-12.482,0.04,158.865,0.0,2.0,0.06,4.0,70.0,4409540.0,4
Jhanak Jhanak Tori Baje Payelia,Manna Dey,/artist/manna-dey,06:51,Hindi,06-12-2000,0.2,0.937,0.503,0.851,-9.5,0.0032,168.198,1.0,7.0,0.035,4.0,98.0,9497941.0,0
Main Kahin Kavi Na Ban Jaoon,Mohammed Rafi,/artist/mohammad-rafi,04:49,Hindi,11-01-2002,0.91,0.65,0.278,0.752,-13.228,0.023,197.382,1.0,1.0,0.071,4.0,35.0,4828888.0,0
Ek Roz Main Tadapkar,Kishore Kumar,/artist/kishore-kumar,06:04,Hindi,12-07-2001,0.79,0.343,0.1,0.769,-11.777,0.0552,150.061,0.0,2.0,0.09,4.0,86.0,8925722.0,2
Janeman Tum Kamal Karte Ho,Kishore Kumar|Lata Mangeshkar,/artist/kishore-kumar|/artist/lata-mangeshkar,05:41,Hindi,12-01-2007,0.1,0.56,0.589,0.511,-9.484,0.0449,198.068,1.0,6.0,0.02,4.0,64.0,10541329.0,4
De Daru,Kishore Kumar|Mahendra Kapoor|Manhar Udhas,/artist/kishore-kumar|/artist/mahendra-kapoor|/artist/manhar-udhas,06:43,Hindi,12-08-2018,0.51,0.31,0.517,0.057,-10.084,0.076,188.148,0.0,10.0,0.06,4.0,88.0,5251513.0,3
Jahan Teri Yeh Nazar Hai,Kishore Kumar,/artist/kishore-kumar,05:26,Hindi,03-01-2016,0.0,0.03,0.927,0.844,-7.925,0.087,164.114,1.0,2.0,0.0115,4.0,63.0,8180116.0,4
Diye Jalte Hai Phool Khilte Hai,Kishore Kumar,/artist/kishore-kumar,03:31,Hindi,11-01-2003,0.7,0.728,0.899,0.759,-2.833,0.0184,109.943,0.0,1.0,0.0679,4.0,58.0,10903614.0,2
Chhoti Si Umar Men Lag Gaya Rog,Lata Mangeshkar,/artist/lata-mangeshkar,04:41,Hindi,02-01-2012,0.55,0.72,0.192,0.052,-9.55,0.0507,168.221,0.0,11.0,0.0705,4.0,42.0,4580535.0,0
Tere Haathon Mein,Asha Bhosle|Mohammed Rafi,/artist/asha-bhosle-1|/artist/mohammad-rafi,05:59,Hindi,03-07-2001,0.08,0.952,0.76,0.915,-6.337,0.089,148.14,0.0,4.0,0.083,4.0,79.0,3805160.0,1
Aasman Se Aaya Farishta,Mohammed Rafi,/artist/mohammad-rafi,05:17,Hindi,06-11-2021,0.46,0.38,0.379,0.552,-5.99,0.08,150.04,1.0,2.0,0.1,4.0,41.0,2455346.0,1
Aaja Sham Hone Aayee,Lata Mangeshkar|S. P. Balasubrahmanyam,/artist/lata-mangeshkar|/artist/s-p-balasubrahamanyam,05:16,Hindi,09-10-2020,0.79,0.627,0.289,0.604,-7.968,0.08,141.153,1.0,9.0,0.0,4.0,32.0,1059493.0,1
Tumse Achha Kaun Hai,Mohammed Rafi,/artist/mohammad-rafi,04:01,Hindi,08-01-2023,0.11,0.16,0.12,0.571,-6.581,0.036,189.906,1.0,7.0,0.05,4.0,45.0,320067.0,4
Hungama Ho Gaya,Asha Bhosle,/artist/asha-bhosle-1,05:02,Hindi,02-03-2023,0.92,0.95,0.843,0.802,-2.612,0.048,193.996,1.0,11.0,0.1,4.0,41.0,5328424.0,0
Baar Baar Dekho Hazar Baar Dekho,Mohammed Rafi,/artist/mohammad-rafi,04:51,Hindi,06-11-2009,0.49,0.95,0.773,0.629,-7.965,0.06,171.456,1.0,4.0,0.057,4.0,91.0,8187640.0,0
Na Bole Tum Na Maine Kuchh Kaha,Amit Kumar|Asha Bhosle,/artist/amit-kumar|/artist/asha-bhosle-1,03:31,Hindi,07-07-2015,0.37,0.421,0.765,0.158,-7.977,0.099,126.038,1.0,9.0,0.0668,4.0,90.0,11215704.0,1
Jadoo Bhari,Udit Narayan,/artist/udit-narayan,05:05,Hindi,08-02-2004,0.19,0.7,0.228,0.622,-10.849,0.0046,107.018,0.0,2.0,0.1,4.0,46.0,8960039.0,2
Jhoot Bole Kauva Kate,Lata Mangeshkar|Shailender Singh,/artist/lata-mangeshkar|/artist/shailender-singh,04:15,Hindi,12-04-2006,0.88,0.41,0.097,0.981,-4.794,0.019,166.028,0.0,8.0,0.0408,4.0,71.0,5208695.0,0
Woh Sham Kuchh Ajeeb Thi,Kishore Kumar,/artist/kishore-kumar,04:46,Hindi,07-08-2014,0.38,0.944,0.006,0.132,-9.016,0.049,140.146,0.0,11.0,0.0991,4.0,78.0,3555413.0,1
Tu Kya Jane O Bewafa,Lata Mangeshkar,/artist/lata-mangeshkar,04:00,Hindi,04-01-2010,0.7,0.716,0.444,0.337,-9.128,0.0369,193.764,1.0,1.0,0.04,4.0,60.0,5392470.0,0
Dilbar Jani Chali Hawa Mastani,Kishore Kumar|Lata Mangeshkar,/artist/kishore-kumar|/artist/lata-mangeshkar,04:41,Hindi,09-01-2016,0.99,0.522,0.849,0.017,-3.374,0.04,189.891,0.0,6.0,0.053,4.0,77.0,5122870.0,3
Tere Jaisa Yaar Kahan,Kishore Kumar,/artist/kishore-kumar,04:38,Hindi,03-05-2010,0.82,0.15,0.843,0.585,-7.957,0.0924,137.046,1.0,0.0,0.0419,4.0,71.0,7289978.0,3
Bambai Se Aaya Mera Dost,Bappi Lahiri,/artist/bappi-lahiri,04:45,Hindi,03-05-2012,0.06,0.63,0.047,0.614,-9.253,0.086,184.126,0.0,10.0,0.07,4.0,100.0,5946611.0,1
Yeh Dosti Hum Nahin,Kishore Kumar|Manna Dey,/artist/kishore-kumar|/artist/manna-dey,05:21,Hindi,05-02-2022,0.64,0.46,0.287,0.711,-5.464,0.0515,119.992,1.0,7.0,0.06,4.0,48.0,11147864.0,2
Rut Hai Milan Ki,Lata Mangeshkar|Mohammed Rafi,/artist/lata-mangeshkar|/artist/mohammad-rafi,05:39,Hindi,10-07-2003,0.29,0.586,0.253,0.59,-5.003,0.082,121.433,0.0,7.0,0.01,4.0,71.0,8533330.0,1
Chahiye Thoda Pyar,Kishore Kumar,/artist/kishore-kumar,05:25,Hindi,12-06-2012,0.04,0.77,0.607,0.11,-6.092,0.0634,127.914,1.0,7.0,0.0423,4.0,46.0,8090981.0,1
Jaane Kya Baat Hai,R. D. Burman|Lata Mangeshkar,/artist/r-d-burman|/artist/lata-mangeshkar,05:28,Hindi,07-02-2014,0.45,0.494,0.181,0.994,-13.566,0.0466,169.884,0.0,11.0,0.1,4.0,77.0,2702733.0,0
